ID_PROVINCIA;PROVINCIAS;2005_PUBLICO;2006_PUBLICO;2007_PUBLICO;2008_PUBLICO;2009_PUBLICO;2010_PUBLICO;2011_PUBLICO;2012_PUBLICO;2013_PUBLICO;2014_PUBLICO;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
35;LAS PALMAS;2604;2516;2479;2451;2471;2471;2487;2547;2479;2479;1011928;1024186;1042131;1070032;1083502;1090605;1096980;1100813;1103850;1100027;2,57;2,46;2,38;2,29;2,28;2,27;2,27;2,31;2,25;2,25;-4,54%;-3,17%;-3,71%;-0,44%;-0,65%;0,06%;2,06%;-2,94%;0,35%
36;PONTEVEDRA;1943;1941;1964;1964;1962;1971;1977;1965;1965;1962;938311;943117;947639;953400;959764;962472;963511;958428;955050;950919;2,07;2,06;2,07;2,06;2,04;2,05;2,05;2,05;2,06;2,06;-0,61%;0,70%;-0,60%;-0,76%;0,18%;0,20%;-0,08%;0,35%;0,28%
37;SALAMANCA;1124;1124;1041;1021;1011;1010;977;977;957;933;352414;353110;351326;353404;354608;353619;352986;350564;345548;342459;3,19;3,18;2,96;2,89;2,85;2,86;2,77;2,79;2,77;2,72;-0,20%;-6,91%;-2,50%;-1,32%;0,18%;-3,09%;0,69%;-0,63%;-1,63%
38;SANTA CRUZ DE TENERIFE;2633;2637;2467;2433;2433;2419;2419;2456;2455;2466;956352;971647;983820;1005936;1020490;1027914;1029789;1017531;1014829;1004788;2,75;2,71;2,51;2,42;2,38;2,35;2,35;2,41;2,42;2,45;-1,42%;-7,60%;-3,55%;-1,43%;-1,29%;-0,18%;2,75%;0,23%;1,45%
39;CANTABRIA;1717;1728;1461;1458;1432;1457;1362;1332;1332;1336;562309;568091;572824;582138;589235;592250;593121;593861;591888;588656;3,05;3,04;2,55;2,50;2,43;2,46;2,30;2,24;2,25;2,27;-0,38%;-16,15%;-1,80%;-2,97%;1,23%;-6,66%;-2,32%;0,33%;0,85%
40;SEGOVIA;431;431;431;431;431;431;431;431;431;431;155517;156598;159322;163899;164854;164268;164169;163701;161702;159303;2,77;2,75;2,71;2,63;2,61;2,62;2,63;2,63;2,67;2,71;-0,69%;-1,71%;-2,79%;-0,58%;0,36%;0,06%;0,29%;1,24%;1,51%
41;SEVILLA;3804;3604;3675;3654;3670;3533;3494;3494;3298;3298;1813908;1835077;1849268;1875462;1900224;1917097;1928962;1938974;1942155;1941355;2,10;1,96;1,99;1,95;1,93;1,84;1,81;1,80;1,70;1,70;-6,35%;1,19%;-1,96%;-0,87%;-4,58%;-1,71%;-0,52%;-5,76%;0,04%
42;SORIA;375;355;355;355;355;355;355;355;336;336;92773;93503;93593;94646;95101;95258;95223;94522;93291;92221;4,04;3,80;3,79;3,75;3,73;3,73;3,73;3,76;3,60;3,64;-6,07%;-0,10%;-1,11%;-0,48%;-0,16%;0,04%;0,74%;-4,10%;1,16%
43;TARRAGONA;1757;1763;1763;1763;1823;1788;1818;1818;1846;1824;704907;730466;757795;788895;803301;808420;811401;814199;810178;800962;2,49;2,41;2,33;2,23;2,27;2,21;2,24;2,23;2,28;2,28;-3,17%;-3,61%;-3,94%;1,55%;-2,54%;1,30%;-0,34%;2,04%;-0,05%
44;TERUEL;604;541;541;556;556;556;556;536;536;536;141091;142160;144046;146324;146751;145277;144607;143728;142183;140365;4,28;3,81;3,76;3,80;3,79;3,83;3,84;3,73;3,77;3,82;-11,10%;-1,31%;1,17%;-0,29%;1,01%;0,46%;-3,01%;1,09%;1,30%
45;TOLEDO;1402;1466;1470;1474;1526;1531;1533;1538;1524;1517;598256;615618;639621;670203;689635;697959;707242;711228;706407;699136;2,34;2,38;2,30;2,20;2,21;2,19;2,17;2,16;2,16;2,17;1,62%;-3,49%;-4,30%;0,61%;-0,87%;-1,18%;-0,24%;-0,23%;0,58%
46;VALENCIA;5166;5201;5212;5200;5593;5708;5599;5396;5335;5323;2416628;2463592;2486483;2543209;2575362;2581147;2578719;2580792;2566474;2548898;2,14;2,11;2,10;2,04;2,17;2,21;2,17;2,09;2,08;2,09;-1,24%;-0,71%;-2,46%;6,21%;1,83%;-1,82%;-3,70%;-0,58%;0,46%
47;VALLADOLID;1494;1502;1486;1426;1536;1576;1536;1536;1536;1536;514674;519249;521661;529019;532575;533640;534874;534280;532284;529157;2,90;2,89;2,85;2,70;2,88;2,95;2,87;2,87;2,89;2,90;-0,35%;-1,52%;-5,37%;6,99%;2,40%;-2,76%;0,11%;0,37%;0,59%
48;VIZCAYA;3275;3216;3203;3193;3190;3165;3081;3075;3068;3068;1136181;1139863;1141457;1146421;1152658;1153724;1155772;1158439;1156447;1151905;2,88;2,82;2,81;2,79;2,77;2,74;2,67;2,65;2,65;2,66;-2,12%;-0,54%;-0,74%;-0,63%;-0,88%;-2,83%;-0,42%;-0,06%;0,39%
49;ZAMORA;626;626;600;600;600;600;600;600;600;600;198045;197492;197237;197221;195665;194214;193383;191612;188270;185432;3,16;3,17;3,04;3,04;3,07;3,09;3,10;3,13;3,19;3,24;0,28%;-4,03%;0,01%;0,80%;0,75%;0,43%;0,92%;1,78%;1,53%
50;ZARAGOZA;3176;3212;3190;3158;3134;3141;3148;3138;3139;3161;912072;917288;932502;955323;970313;973252;973325;978130;978638;960111;3,48;3,50;3,42;3,31;3,23;3,23;3,23;3,21;3,21;3,29;0,56%;-2,31%;-3,37%;-2,29%;-0,08%;0,22%;-0,81%;-0,02%;2,64%
51;CEUTA;50;50;50;50;50;302;302;252;252;252;75276;75861;76603;77389;78674;80579;82376;84018;84180;84963;0,66;0,66;0,65;0,65;0,64;3,75;3,67;3,00;2,99;2,97;-0,77%;-0,97%;-1,02%;-1,63%;489,72%;-2,18%;-18,19%;-0,19%;-0,92%
52;MELILLA;222;222;222;172;172;172;170;170;170;170;65488;66871;69440;71448;73460;76034;78476;80802;83679;84509;3,39;3,32;3,20;2,41;2,34;2,26;2,17;2,10;2,03;2,01;-2,07%;-3,70%;-24,70%;-2,74%;-3,39%;-4,24%;-2,88%;-3,44%;-0,98%
