ID_PROVINCIA;PROVINCIAS;2005_TOTAL;2006_TOTAL;2007_TOTAL;2008_TOTAL;2009_TOTAL;2010_TOTAL;2011_TOTAL;2012_TOTAL;2013_TOTAL;2014_TOTAL;POBL_2005;POBL_2006;POBL_2007;POBL_2008;POBL_2009;POBL_2010;POBL_2011;POBL_2012;POBL_2013;POBL_2014;CAMAS_1000HAB_2005;CAMAS_1000HAB_2006;CAMAS_1000HAB_2007;CAMAS_1000HAB_2008;CAMAS_1000HAB_2009;CAMAS_1000HAB_2010;CAMAS_1000HAB_2011;CAMAS_1000HAB_2012;CAMAS_1000HAB_2013;CAMAS_1000HAB_2014;VAR_05_06;VAR_06_07;VAR_07_08;VAR_08_09;VAR_09_10;VAR_10_11;VAR_11_12;VAR_12_13;VAR_13_14
27;LUGO;1353;1324;1324;1328;1325;1445;1445;1245;1245;1159;357625;356595;355176;355549;355195;353504;351530;348902;346005;342748;3,78;3,71;3,73;3,74;3,73;4,09;4,11;3,57;3,60;3,38;-1,86%;0,40%;0,20%;-0,13%;9,58%;0,56%;-13,19%;0,84%;-6,02%
28;MADRID;21016;21061;21352;22565;21870;21513;22137;22136;21830;21667;5964143;6008183;6081689;6271638;6386932;6458684;6489680;6498560;6495551;6454440;3,52;3,51;3,51;3,60;3,42;3,33;3,41;3,41;3,36;3,36;-0,52%;0,16%;2,48%;-4,83%;-2,73%;2,41%;-0,14%;-1,34%;-0,11%
29;MALAGA;4794;4871;4814;4857;4997;5016;4918;4926;4562;4587;1453409;1491287;1517523;1563261;1593068;1609557;1625827;1641098;1652999;1621968;3,30;3,27;3,17;3,11;3,14;3,12;3,02;3,00;2,76;2,83;-0,97%;-2,88%;-2,06%;0,96%;-0,65%;-2,93%;-0,77%;-8,06%;2,47%
30;MURCIA;4451;4539;4717;4505;4534;4570;4647;4689;4763;4829;1335792;1370306;1392117;1426109;1446520;1461979;1470069;1474449;1472049;1466818;3,33;3,31;3,39;3,16;3,13;3,13;3,16;3,18;3,24;3,29;-0,59%;2,29%;-6,77%;-0,78%;-0,27%;1,13%;0,60%;1,74%;1,75%
31;NAVARRA;2333;2399;2418;2405;2401;2394;2414;2422;2422;2256;593472;601874;605876;620377;630578;636924;642051;644566;644477;640790;3,93;3,99;3,99;3,88;3,81;3,76;3,76;3,76;3,76;3,52;1,39%;0,13%;-2,86%;-1,78%;-1,28%;0,03%;-0,06%;0,01%;-6,32%
32;OURENSE;1231;1232;1218;1220;1226;1171;1181;1181;1181;1117;339555;338671;336926;336099;335642;335219;333257;330257;326724;322293;3,63;3,64;3,62;3,63;3,65;3,49;3,54;3,58;3,61;3,47;0,34%;-0,62%;0,41%;0,63%;-4,37%;1,45%;0,91%;1,08%;-4,12%
33;ASTURIAS;4313;4288;4223;4182;4182;4170;4146;4017;3836;3759;1076635;1076896;1074862;1080138;1085289;1084341;1081487;1077360;1068165;1061756;4,01;3,98;3,93;3,87;3,85;3,85;3,83;3,73;3,59;3,54;-0,60%;-1,33%;-1,45%;-0,47%;-0,20%;-0,31%;-2,74%;-3,68%;-1,42%
34;PALENCIA;867;895;877;936;930;930;922;920;920;842;173471;173153;173281;173454;173306;172510;171668;170713;168955;167609;5,00;5,17;5,06;5,40;5,37;5,39;5,37;5,39;5,45;5,02;3,42%;-2,08%;6,62%;-0,56%;0,46%;-0,37%;0,34%;1,04%;-7,74%
35;LAS PALMAS;4151;4240;3859;3854;3882;3887;3893;3953;3857;3876;1011928;1024186;1042131;1070032;1083502;1090605;1096980;1100813;1103850;1100027;4,10;4,14;3,70;3,60;3,58;3,56;3,55;3,59;3,49;3,52;0,92%;-10,55%;-2,73%;-0,53%;-0,52%;-0,43%;1,19%;-2,70%;0,84%
36;PONTEVEDRA;3270;3343;3372;3400;3404;3314;3282;3270;3270;3266;938311;943117;947639;953400;959764;962472;963511;958428;955050;950919;3,48;3,54;3,56;3,57;3,55;3,44;3,41;3,41;3,42;3,43;1,71%;0,39%;0,22%;-0,55%;-2,92%;-1,07%;0,16%;0,35%;0,31%
